Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,Age
12,60,RL,85.0,11924,1,,0,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,5,3,PConc,5.0,3.0,No,6.0,998,1.0,0,177,1175,GasA,5,1,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,5,11,0,2,4.0,BuiltIn,2005.0,Fin,3,736,3.0,3.0,1,147,21,0,0,0,0,0.0,0.0,,0,7,2006,New,Partial,345000,17
13,20,RL,,12968,1,,0,Lvl,1,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,3.0,3.0,No,5.0,737,1.0,0,175,912,GasA,3,1,SBrkr,912,0,0,912,1,0,1,0,2,1,3,4,0,0,0.0,Detchd,1962.0,Unf,1,352,3.0,3.0,1,140,0,0,0,176,0,0.0,0.0,,0,9,2008,WD,Normal,144000,60
14,20,RL,91.0,10652,1,,0,Lvl,1,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,4,3,PConc,4.0,3.0,Av,1.0,0,1.0,0,1494,1494,GasA,5,1,SBrkr,1494,0,0,1494,0,0,2,0,3,1,4,7,0,1,4.0,Attchd,2006.0,RFn,3,840,3.0,3.0,1,160,33,0,0,0,0,0.0,0.0,,0,8,2007,New,Partial,279500,16
15,20,RL,,10920,1,,0,Lvl,1,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,3.0,3.0,No,4.0,733,1.0,0,520,1253,GasA,3,1,SBrkr,1253,0,0,1253,1,0,1,1,2,1,3,5,0,1,2.0,Attchd,1960.0,RFn,1,352,3.0,3.0,1,0,213,176,0,0,0,0.0,2.0,,0,5,2008,WD,Normal,157000,62
16,45,RM,51.0,6120,1,,1,Lvl,1,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3.0,3.0,No,1.0,0,1.0,0,832,832,GasA,5,1,FuseA,854,0,0,854,0,0,1,0,2,1,3,5,0,0,0.0,Detchd,1991.0,Unf,2,576,3.0,3.0,1,48,112,0,0,0,0,0.0,4.0,,0,7,2007,WD,Normal,132000,93
17,20,RL,,11241,1,,0,Lvl,1,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3.0,3.0,No,5.0,578,1.0,0,426,1004,GasA,5,1,SBrkr,1004,0,0,1004,1,0,1,0,2,1,3,5,0,1,3.0,Attchd,1970.0,Fin,2,480,3.0,3.0,1,0,0,0,0,0,0,0.0,0.0,Shed,700,3,2010,WD,Normal,149000,52
18,90,RL,72.0,10791,1,,1,Lvl,1,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,Slab,0.0,0.0,0,0.0,0,0.0,0,0,0,GasA,3,1,SBrkr,1296,0,0,1296,0,0,2,0,2,2,3,6,0,0,0.0,CarPort,1967.0,Unf,2,516,3.0,3.0,1,0,0,0,0,0,0,0.0,0.0,Shed,500,10,2006,WD,Normal,90000,55
19,20,RL,66.0,13695,1,,1,Lvl,1,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3.0,3.0,No,6.0,646,1.0,0,468,1114,GasA,5,1,SBrkr,1114,0,0,1114,1,0,1,1,3,1,4,6,0,0,0.0,Detchd,2004.0,Unf,2,576,3.0,3.0,1,0,102,0,0,0,0,0.0,0.0,,0,6,2008,WD,Normal,159000,18
20,20,RL,70.0,7560,1,,1,Lvl,1,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,3,3,CBlock,3.0,3.0,No,2.0,504,1.0,0,525,1029,GasA,3,1,SBrkr,1339,0,0,1339,0,0,1,0,3,1,3,6,1,0,0.0,Attchd,1958.0,Unf,1,294,3.0,3.0,1,0,0,0,0,0,0,0.0,3.0,,0,5,2009,COD,Abnorml,139000,64
21,60,RL,101.0,14215,1,,0,Lvl,1,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,5.0,3.0,Av,1.0,0,1.0,0,1158,1158,GasA,5,1,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,4,9,0,1,4.0,BuiltIn,2005.0,RFn,3,853,3.0,3.0,1,240,154,0,0,0,0,0.0,0.0,,0,11,2006,New,Partial,325300,17
22,45,RM,57.0,7449,1,0.0,1,Bnk,1,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3.0,3.0,No,1.0,0,1.0,0,637,637,GasA,5,1,FuseF,1108,0,0,1108,0,0,1,0,3,1,4,6,0,1,4.0,Attchd,1930.0,Unf,1,280,3.0,3.0,0,0,0,205,0,0,0,0.0,4.0,,0,6,2007,WD,Normal,139400,92
23,20,RL,75.0,9742,1,,1,Lvl,1,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,4,3,PConc,4.0,3.0,No,1.0,0,1.0,0,1777,1777,GasA,5,1,SBrkr,1795,0,0,1795,0,0,2,0,3,1,4,7,0,1,4.0,Attchd,2002.0,RFn,2,534,3.0,3.0,1,171,159,0,0,0,0,0.0,0.0,,0,9,2008,WD,Normal,230000,20
24,120,RM,44.0,4224,1,,1,Lvl,1,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,4.0,3.0,No,6.0,840,1.0,0,200,1040,GasA,3,1,SBrkr,1060,0,0,1060,1,0,1,0,3,1,3,6,0,1,3.0,Attchd,1976.0,Unf,2,572,3.0,3.0,1,100,110,0,0,0,0,0.0,0.0,,0,6,2007,WD,Normal,129900,46
25,20,RL,,8246,1,,0,Lvl,1,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,3,4,CBlock,3.0,3.0,Mn,3.0,188,5.0,668,204,1060,GasA,5,1,SBrkr,1060,0,0,1060,1,0,1,0,3,1,4,6,0,1,3.0,Attchd,1968.0,Unf,1,270,3.0,3.0,1,406,90,0,0,0,0,0.0,3.0,,0,5,2010,WD,Normal,154000,54
26,20,RL,110.0,14230,1,,1,Lvl,1,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,4,3,PConc,4.0,3.0,No,1.0,0,1.0,0,1566,1566,GasA,5,1,SBrkr,1600,0,0,1600,0,0,2,0,3,1,4,7,0,1,4.0,Attchd,2007.0,RFn,3,890,3.0,3.0,1,0,56,0,0,0,0,0.0,0.0,,0,7,2009,WD,Normal,256300,15
27,20,RL,60.0,7200,1,,1,Lvl,1,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,Mn,4.0,234,3.0,486,180,900,GasA,3,1,SBrkr,900,0,0,900,0,1,1,0,3,1,4,5,0,0,0.0,Detchd,2005.0,Unf,2,576,3.0,3.0,1,222,32,0,0,0,0,0.0,0.0,,0,5,2010,WD,Normal,134800,71
28,20,RL,98.0,11478,1,,1,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5.0,3.0,No,6.0,1218,1.0,0,486,1704,GasA,5,1,SBrkr,1704,0,0,1704,1,0,2,0,3,1,4,7,0,1,4.0,Attchd,2008.0,RFn,3,772,3.0,3.0,1,0,50,0,0,0,0,0.0,0.0,,0,5,2010,WD,Normal,306000,15
29,20,RL,47.0,16321,1,,0,Lvl,1,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3.0,3.0,Gd,4.0,1277,1.0,0,207,1484,GasA,3,1,SBrkr,1600,0,0,1600,1,0,1,0,2,1,3,6,0,2,4.0,Attchd,1957.0,RFn,1,319,3.0,3.0,1,288,258,0,0,0,0,0.0,0.0,,0,12,2006,WD,Normal,207500,65
30,30,RM,60.0,6324,1,,0,Lvl,1,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3.0,3.0,No,1.0,0,1.0,0,520,520,GasA,2,0,SBrkr,520,0,0,520,0,0,1,0,1,1,2,4,0,0,0.0,Detchd,1920.0,Unf,1,240,2.0,3.0,1,49,0,87,0,0,0,0.0,0.0,,0,5,2008,WD,Normal,68500,95
31,70,C (all),50.0,8500,1,1.0,1,Lvl,1,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,3,2,BrkTil,3.0,3.0,No,1.0,0,1.0,0,649,649,GasA,3,0,SBrkr,649,668,0,1317,0,0,1,0,3,1,3,6,0,0,0.0,Detchd,1920.0,Unf,1,250,3.0,2.0,0,0,54,172,0,0,0,0.0,3.0,,0,7,2008,WD,Normal,40000,102
32,20,RL,,8544,1,,0,Lvl,1,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3.0,No,1.0,0,1.0,0,1228,1228,GasA,4,1,SBrkr,1228,0,0,1228,0,0,1,1,3,1,4,6,0,0,0.0,Attchd,1966.0,Unf,1,271,3.0,3.0,1,0,65,0,0,0,0,0.0,3.0,,0,6,2008,WD,Normal,149350,56
33,20,RL,85.0,11049,1,,1,Lvl,1,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5.0,3.0,Av,1.0,0,1.0,0,1234,1234,GasA,5,1,SBrkr,1234,0,0,1234,0,0,2,0,3,1,4,7,0,0,0.0,Attchd,2007.0,RFn,2,484,3.0,3.0,1,0,30,0,0,0,0,0.0,0.0,,0,1,2008,WD,Normal,179900,15
34,20,RL,70.0,10552,1,,0,Lvl,1,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,3.0,3.0,No,3.0,1018,1.0,0,380,1398,GasA,4,1,SBrkr,1700,0,0,1700,0,1,1,1,4,1,4,6,0,1,4.0,Attchd,1959.0,RFn,2,447,3.0,3.0,1,0,38,0,0,0,0,0.0,0.0,,0,4,2010,WD,Normal,165500,63
35,120,RL,60.0,7313,1,,1,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,5,3,PConc,5.0,3.0,No,6.0,1153,1.0,0,408,1561,GasA,5,1,SBrkr,1561,0,0,1561,1,0,2,0,2,1,5,6,0,1,4.0,Attchd,2005.0,Fin,2,556,3.0,3.0,1,203,47,0,0,0,0,0.0,0.0,,0,8,2007,WD,Normal,277500,17
36,60,RL,108.0,13418,1,,1,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,4,3,PConc,5.0,3.0,Av,1.0,0,1.0,0,1117,1117,GasA,5,1,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,4,9,0,1,4.0,BuiltIn,2004.0,Fin,3,691,3.0,3.0,1,113,32,0,0,0,0,0.0,0.0,,0,9,2006,WD,Normal,309000,18
37,20,RL,112.0,10859,1,,1,Lvl,1,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3.0,No,1.0,0,1.0,0,1097,1097,GasA,5,1,SBrkr,1097,0,0,1097,0,0,1,1,3,1,3,6,0,0,0.0,Attchd,1995.0,Unf,2,672,3.0,3.0,1,392,64,0,0,0,0,0.0,0.0,,0,6,2009,WD,Normal,145000,28
38,20,RL,74.0,8532,1,,1,Lvl,1,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,3,3,CBlock,3.0,3.0,No,3.0,1213,1.0,0,84,1297,GasA,4,1,SBrkr,1297,0,0,1297,0,1,1,0,3,1,3,5,0,1,3.0,Attchd,1954.0,Fin,2,498,3.0,3.0,1,0,0,0,0,0,0,0.0,0.0,,0,10,2009,WD,Normal,153000,68
39,20,RL,68.0,7922,1,,1,Lvl,1,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3.0,3.0,No,6.0,731,1.0,0,326,1057,GasA,3,1,SBrkr,1057,0,0,1057,1,0,1,0,3,1,4,5,0,0,0.0,Detchd,1953.0,Unf,1,246,3.0,3.0,1,0,52,0,0,0,0,0.0,0.0,,0,1,2010,WD,Abnorml,109000,69
40,90,RL,65.0,6040,1,,1,Lvl,1,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,3,3,PConc,0.0,0.0,0,0.0,0,0.0,0,0,0,GasA,3,0,FuseP,1152,0,0,1152,0,0,2,0,2,2,2,6,0,0,0.0,,,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,,0,6,2008,WD,AdjLand,82000,67
41,20,RL,84.0,8658,1,,1,Lvl,1,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,3,3,CBlock,3.0,3.0,No,3.0,643,1.0,0,445,1088,GasA,5,1,SBrkr,1324,0,0,1324,0,0,2,0,3,1,3,6,0,1,3.0,Attchd,1965.0,RFn,2,440,3.0,3.0,1,0,138,0,0,0,0,0.0,2.0,,0,12,2006,WD,Abnorml,160000,57
42,20,RL,115.0,16905,1,,1,Lvl,1,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3.0,3.0,Gd,4.0,967,1.0,0,383,1350,GasA,4,1,SBrkr,1328,0,0,1328,0,1,1,1,2,1,3,5,0,2,4.0,Attchd,1959.0,RFn,1,308,3.0,3.0,0,0,104,0,0,0,0,0.0,0.0,,0,7,2007,WD,Normal,170000,63
43,85,RL,,9180,1,,0,Lvl,1,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,4.0,3.0,Av,5.0,747,2.0,93,0,840,GasA,4,1,SBrkr,884,0,0,884,1,0,1,0,2,1,4,5,0,0,0.0,Attchd,1983.0,RFn,2,504,3.0,4.0,1,240,0,0,0,0,0,0.0,3.0,,0,12,2007,WD,Normal,144000,39
44,20,RL,,9200,1,,0,Lvl,1,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4.0,3.0,Av,2.0,280,4.0,491,167,938,GasA,3,1,SBrkr,938,0,0,938,1,0,1,0,3,1,3,5,0,0,0.0,Detchd,1977.0,Unf,1,308,3.0,3.0,1,145,0,0,0,0,0,0.0,3.0,,0,7,2008,WD,Normal,130250,47
45,20,RL,70.0,7945,1,,1,Lvl,1,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,No,5.0,179,4.0,506,465,1150,GasA,5,1,FuseA,1150,0,0,1150,1,0,1,0,3,1,3,6,0,0,0.0,Attchd,1959.0,RFn,1,300,3.0,3.0,1,0,0,0,0,0,0,0.0,0.0,,0,5,2006,WD,Normal,141000,63
46,120,RL,61.0,7658,1,,1,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,5,3,PConc,5.0,3.0,No,6.0,456,1.0,0,1296,1752,GasA,5,1,SBrkr,1752,0,0,1752,1,0,2,0,2,1,5,6,0,1,4.0,Attchd,2005.0,RFn,2,576,3.0,3.0,1,196,82,0,0,0,0,0.0,0.0,,0,2,2010,WD,Normal,319900,17
47,50,RL,48.0,12822,1,,0,Lvl,1,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5.0,3.0,No,6.0,1351,1.0,0,83,1434,GasA,5,1,SBrkr,1518,631,0,2149,1,0,1,1,1,1,4,6,0,1,5.0,Attchd,2003.0,RFn,2,670,3.0,3.0,1,168,43,0,0,198,0,0.0,0.0,,0,8,2009,WD,Abnorml,239686,19
48,20,FV,84.0,11096,1,,1,Lvl,1,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,Av,6.0,24,1.0,0,1632,1656,GasA,5,1,SBrkr,1656,0,0,1656,0,0,2,0,3,1,4,7,0,0,0.0,Attchd,2006.0,RFn,3,826,3.0,3.0,1,0,146,0,0,0,0,0.0,0.0,,0,7,2007,WD,Normal,249700,16
49,190,RM,33.0,4456,1,,1,Lvl,1,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3.0,3.0,No,1.0,0,1.0,0,736,736,GasA,4,1,SBrkr,736,716,0,1452,0,0,2,0,2,3,3,8,0,0,0.0,,,0,0,0,0.0,0.0,0,0,0,102,0,0,0,0.0,0.0,,0,6,2009,New,Partial,113000,102
50,20,RL,66.0,7742,1,,1,Lvl,1,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3.0,No,4.0,763,1.0,0,192,955,GasA,5,1,SBrkr,955,0,0,955,1,0,1,0,3,1,3,6,0,0,0.0,Attchd,1966.0,Unf,1,386,3.0,3.0,1,0,0,0,0,0,0,0.0,3.0,,0,1,2007,WD,Normal,127000,56
51,60,RL,,13869,1,,0,Lvl,1,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3.0,Av,6.0,182,1.0,0,612,794,GasA,4,1,SBrkr,794,676,0,1470,0,1,2,0,3,1,3,6,0,0,0.0,Attchd,1997.0,Fin,2,388,3.0,3.0,1,0,75,0,0,0,0,0.0,0.0,,0,7,2007,WD,Normal,177000,25
